filename,proc_error,Eye,pal_T,pal_TI,pal_NI,pal_N,pal_NS,pal_TS,pal_PMB,pal_G,pal_NT_ratio,pal_disc,disc_area,distance,eccentricity,vessel_mass,crowdedness,DD,DM,hypoplasia,wobbliness,torsion,ovality,tilt,cont_int,reject_TREE,reject_thresh
BEH-1.png,0,R,1.947546,1.917557,1.405782,1.567237,1.506146,1.74827,1.98114,1.749857,0.8047239,2.019926,2602,191.558934143857,0.493891226551613,67446,0.250011516314779,53.6985371871286,164.709665550293,0.326019344449049,0.96511846422944,17.9255788812931,0.869523695097116,0,0.4010695,0,1
BEH-10.png,0,R,1.46458,1.438325,1.307266,1.168133,1.221625,1.474313,1.459703,1.369687,0.7975892,1.551918,2919,187.597598366297,0.448061588177123,76380,0.282223596509311,57.6894911279831,158.752852802305,0.363391839010438,0.964785705913761,3.28704467020599,0.894002691942364,0,0.4946809,0,1
BEH-100.png,0,L,1,1,1,1,1,1,1,1,1,1,2910,182.752513410306,0.307607024214417,148447,0.436747527961275,59.4799254266254,153.012550696993,0.388725795078156,0.913793952526347,23.1251695119518,0.9515134884246,0,1,1,1
BEH-101.png,0,R,1,1,1,1,1,1,1,1,1,1,3078,177.015424923232,0.418388129803147,137527,0.521660696672377,59.7684432857317,147.131203280366,0.406225477350579,0.914043937780171,29.8589084821986,0.908268337464114,0,1,1,1
BEH-102.png,0,L,1,1,1,1,1,1,1,1,1,1,2743,179.786743444818,0.336680594916935,146291,0.435007557260784,57.4856844210582,151.043901234289,0.380589245585563,0.926905420244222,54.1985156943409,0.941618912833838,0,1,1,1
BEH-103.png,0,R,1.160965,0.9336532,0.7979867,0.8556184,0.8584844,0.9344701,1.244183,0.9678237,0.736989,1.116154,2965,225.786223016697,0.568997251736499,90339,0.414701448338987,55.7430208840831,197.914712574655,0.281651728458825,0.977194864966193,8.45905436512928,0.822339423544993,0,0.5128205,0,1
BEH-104.png,0,R,1.023077,0.9952738,0.906477,0.9083488,0.9263756,0.9467407,1.027071,0.9629778,0.8878599,0.9968598,3914,365.43059505345,0.483256180440099,69836,0.27255256728715,66.0983216070536,332.381434249924,0.198862856934883,0.969143257879768,17.0960227380092,0.875478991219347,0,0.5739645,0,0
BEH-105.png,0,L,1.322326,1.246666,0.9980595,1.009182,1.024306,1.144561,1.337557,1.14525,0.763187,1.337982,3770,329.56446631298,0.645090689218901,51494,0.21438925602217,60.6374778754955,299.245727375233,0.202634398182937,0.949904390088439,5.07084761947135,0.764106015342821,0,0.5789474,0,1
BEH-106.png,0,L,1.086365,1.064554,0.9736838,0.9893474,0.9685502,1.027698,1.100087,1.033499,0.9106954,1.253029,3976,350.744583020861,0.592457896409641,65911,0.249617197888544,63.9727232852224,318.75822137825,0.200693563317729,0.944268752248755,4.66303596790952,0.805601415702494,0,0.60199,0,1
BEH-107.png,0,L,1,1,1,1,1,1,1,1,1,1,3932,230.795553114755,0.618502591131982,126794,0.361338532840605,62.9166540404608,199.337226094524,0.315629224270564,0.9270815842988,2.50729737887914,0.785782759268123,0,1,1,1
